image_id,image,category_id
8204,000000008204.jpg,1
130081,000000130081.jpg,1
130339,000000130339.jpg,1
78137,000000078137.jpg,17
551994,000000551994.jpg,17
246723,000000246723.jpg,17
498372,000000498372.jpg,1
403162,000000403162.jpg,17
375450,000000375450.jpg,18
124202,000000124202.jpg,18
475995,000000475995.jpg,18
242731,000000242731.jpg,1
366811,000000366811.jpg,18
489257,000000489257.jpg,17
502604,000000502604.jpg,17
276951,000000276951.jpg,18
253177,000000253177.jpg,17
74883,000000074883.jpg,17
298443,000000298443.jpg,1
420524,000000420524.jpg,1
335009,000000335009.jpg,18
360846,000000360846.jpg,1
78026,000000078026.jpg,17
159753,000000159753.jpg,17
457943,000000457943.jpg,18
58792,000000058792.jpg,18
186923,000000186923.jpg,1
389382,000000389382.jpg,17
259557,000000259557.jpg,17
299343,000000299343.jpg,1
50927,000000050927.jpg,1
342174,000000342174.jpg,18
330481,000000330481.jpg,18
498657,000000498657.jpg,18
373540,000000373540.jpg,18
60911,000000060911.jpg,1
374372,000000374372.jpg,18
574155,000000574155.jpg,1
282674,000000282674.jpg,18
523571,000000523571.jpg,17
397543,000000397543.jpg,17
272713,000000272713.jpg,17
106296,000000106296.jpg,17
572050,000000572050.jpg,18
183971,000000183971.jpg,1
77417,000000077417.jpg,17
446829,000000446829.jpg,18
81143,000000081143.jpg,1
556547,000000556547.jpg,1
268718,000000268718.jpg,17
459643,000000459643.jpg,17
431281,000000431281.jpg,1
399780,000000399780.jpg,18
300784,000000300784.jpg,18
332844,000000332844.jpg,18
348751,000000348751.jpg,18
146058,000000146058.jpg,17
125107,000000125107.jpg,18
543747,000000543747.jpg,1
405090,000000405090.jpg,18
196917,000000196917.jpg,1
144723,000000144723.jpg,18
79572,000000079572.jpg,18
231019,000000231019.jpg,1
362438,000000362438.jpg,1
179576,000000179576.jpg,18
97049,000000097049.jpg,18
429746,000000429746.jpg,1
33008,000000033008.jpg,17
574834,000000574834.jpg,17
475711,000000475711.jpg,18
29128,000000029128.jpg,17
315269,000000315269.jpg,1
44856,000000044856.jpg,18
264241,000000264241.jpg,1
465225,000000465225.jpg,18
491795,000000491795.jpg,17
459659,000000459659.jpg,1
108908,000000108908.jpg,18
541558,000000541558.jpg,17
143847,000000143847.jpg,18
1911,000000001911.jpg,18
353858,000000353858.jpg,18
36962,000000036962.jpg,17
312686,000000312686.jpg,1
281331,000000281331.jpg,18
538233,000000538233.jpg,17
547607,000000547607.jpg,17
114119,000000114119.jpg,17
219492,000000219492.jpg,17
248682,000000248682.jpg,18
217978,000000217978.jpg,18
266032,000000266032.jpg,17
244875,000000244875.jpg,17
164598,000000164598.jpg,18
224468,000000224468.jpg,18
566849,000000566849.jpg,18
374564,000000374564.jpg,18
277070,000000277070.jpg,17
69003,000000069003.jpg,17
488118,000000488118.jpg,1
531414,000000531414.jpg,17
448143,000000448143.jpg,1
561062,000000561062.jpg,18
65051,000000065051.jpg,1
67975,000000067975.jpg,18
510147,000000510147.jpg,1
86790,000000086790.jpg,1
517082,000000517082.jpg,1
357542,000000357542.jpg,18
432906,000000432906.jpg,17
467172,000000467172.jpg,17
450500,000000450500.jpg,1
50912,000000050912.jpg,17
241837,000000241837.jpg,18
159170,000000159170.jpg,17
498918,000000498918.jpg,18
516352,000000516352.jpg,1
113259,000000113259.jpg,1
142891,000000142891.jpg,17
177492,000000177492.jpg,17
467675,000000467675.jpg,17
538581,000000538581.jpg,18
52790,000000052790.jpg,1
316660,000000316660.jpg,17
162178,000000162178.jpg,17
